"shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco"
"DOM",25,6.181818,8.3640423,3,1,3,130,4.8675346,-1.5798792,1
"DZA",13,6.5,8.3893595,2,0,1,78.199997,4.3592696,-1.1147417,1
"ECU",30.000002,6.5454545,8.4701014,3,1,3,71,4.2626801,-1.4396951,1
"EGY",0,6.7727275,7.9515595,1,7,7,67.800003,4.2165623,-1.6766466,1
"ERI",0,NA,6.6200733,NA,NA,NA,NA,NA,NA,NA
"ESP",100,9.681818,9.6184683,NA,NA,NA,NA,NA,-0.38272566,NA
"EST",100,NA,8.3938951,NA,NA,NA,NA,NA,NA,NA
"ETH",0,5.7272725,6.1092477,1,5,7,26,3.2580965,NA,1
"FIN",100,9.727273,9.826066,NA,NA,NA,NA,NA,-0.30924621,NA
"FJI",NA,NA,8.3015213,7,0,1,11.4,2.4336133,-1.2982835,NA
"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRA",100,9.727273,9.9636412,NA,NA,NA,2.8800001,1.0577903,-0.20089293,NA
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",0,7.818182,8.9078827,2,0,1,280,5.6347895,-1.8515095,1
"GBR",100,9.772727,9.87817,NA,NA,NA,2.55,0.93609333,-0.31882879,NA
"GEO",100,NA,7.3714895,NA,NA,NA,NA,NA,NA,NA
"GHA",0,6.2727275,7.36518,1,0,1,668,6.5042882,-2.9565115,1
"GIN",0,6.5454545,7.4899707,1,0,1,483,6.1800165,-3.1465552,1
"GLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GMB",0,8.272727,7.2723985,7,0,1,1470,7.2930179,-3.0365543,1
"GNB",0,4.5454545,NA,3,0,1,164.66,5.1038828,-3.2441936,NA
"GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRC",100,7.818182,9.3976498,NA,NA,NA,NA,NA,-0.7571525,NA
"GRD",10,NA,8.4184771,NA,NA,NA,85,NA,NA,NA
"GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",20,5.1363635,8.2940493,1,0,1,71,4.2626801,-1.5606477,1
"GUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",2,5.8863635,7.9047041,7,0,1,32.18,3.4713452,-2.2537949,1
"HKG",4,8.136364,10.04975,NA,NA,NA,14.9,2.7013612,-0.49758044,1
"HND",20,5.318182,7.6870804,3,6,5,78.099998,4.3579903,-2.040221,1
"HRV",100,NA,8.4184771,NA,NA,NA,NA,NA,NA,NA
